Home Team,vs,Away Team,Venue,Time,Result,Match Week,Date
JESSICA L4,v,Electrify Squash Ladies,HK Squash Centre,19:00,"3-0(3-0,3-0,3-0)",6,15/11/2024
Hong Kong Football Club JSA,v,Hong Kong Cricket Club L4,Hong Kong Football Club,19:00,"1-2(1-3,0-3,3-1)",6,15/11/2024
i-Mask Advance Squash Club L4,v,JESSICA Smashin' Mochi,Cornwall Street Squash Centre,19:00,"2-1(0-3,3-0,3-0)",6,15/11/2024
Hong Kong Football Club L4,v,[BYE],,,,6,15/11/2024
Hong Kong Football Club L4,v,i-Mask Advance Squash Club L4,Hong Kong Football Club,19:00,"3-0(3-0,3-1,CR)",7,22/11/2024
JESSICA Smashin' Mochi,v,Hong Kong Football Club JSA,HK Squash Centre,19:00,"0-3(0-3,0-3,1-3)",7,22/11/2024
Hong Kong Cricket Club L4,v,JESSICA L4,Hong Kong Cricket Club,19:00,"1-2(0-3,3-1,0-3)",7,22/11/2024
Electrify Squash Ladies,v,[BYE],,,,7,22/11/2024
JESSICA Smashin' Mochi,v,JESSICA L4,HK Squash Centre,19:00,,8,29/11/2024
Hong Kong Football Club L4,v,Hong Kong Football Club JSA,Hong Kong Football Club,19:00,,8,29/11/2024
Hong Kong Cricket Club L4,v,Electrify Squash Ladies,Hong Kong Cricket Club,19:00,,8,29/11/2024
i-Mask Advance Squash Club L4,v,[BYE],,,,8,29/11/2024
Hong Kong Cricket Club L4,v,JESSICA Smashin' Mochi,Hong Kong Cricket Club,19:00,,9,03/01/2025
Hong Kong Football Club L4,v,Electrify Squash Ladies,Hong Kong Football Club,19:00,,9,03/01/2025
i-Mask Advance Squash Club L4,v,JESSICA L4,Cornwall Street Squash Centre,19:00,,9,03/01/2025
Hong Kong Football Club JSA,v,[BYE],,,,9,03/01/2025
Hong Kong Football Club JSA,v,JESSICA L4,Hong Kong Football Club,19:00,,10,10/01/2025
i-Mask Advance Squash Club L4,v,Electrify Squash Ladies,Cornwall Street Squash Centre,19:00,,10,10/01/2025
Hong Kong Football Club L4,v,Hong Kong Cricket Club L4,Hong Kong Football Club,19:00,,10,10/01/2025
JESSICA Smashin' Mochi,v,[BYE],,,,10,10/01/2025
Hong Kong Football Club L4,v,JESSICA Smashin' Mochi,Hong Kong Football Club,19:00,,11,17/01/2025
i-Mask Advance Squash Club L4,v,Hong Kong Cricket Club L4,Cornwall Street Squash Centre,19:00,,11,17/01/2025
Electrify Squash Ladies,v,Hong Kong Football Club JSA,HK Squash Centre,19:00,,11,17/01/2025
JESSICA L4,v,[BYE],,,,11,17/01/2025
Electrify Squash Ladies,v,JESSICA L4,HK Squash Centre,19:00,,12,24/01/2025
Hong Kong Football Club JSA,v,Hong Kong Cricket Club L4,Hong Kong Football Club,19:00,,12,24/01/2025
JESSICA Smashin' Mochi,v,i-Mask Advance Squash Club L4,HK Squash Centre,19:00,,12,24/01/2025
Hong Kong Football Club L4,v,[BYE],,,,12,24/01/2025
i-Mask Advance Squash Club L4,v,Hong Kong Football Club L4,Cornwall Street Squash Centre,19:00,,13,07/02/2025
Hong Kong Football Club JSA,v,JESSICA Smashin' Mochi,Hong Kong Football Club,19:00,,13,07/02/2025
JESSICA L4,v,Hong Kong Cricket Club L4,HK Squash Centre,19:00,,13,07/02/2025
Electrify Squash Ladies,v,[BYE],,,,13,07/02/2025
JESSICA L4,v,JESSICA Smashin' Mochi,Java Road Sports Centre,19:00,,14,14/02/2025
Hong Kong Football Club JSA,v,Hong Kong Football Club L4,Hong Kong Football Club,19:00,,14,14/02/2025
Hong Kong Cricket Club L4,v,Electrify Squash Ladies,Hong Kong Cricket Club,19:00,,14,14/02/2025
i-Mask Advance Squash Club L4,v,[BYE],,,,14,14/02/2025
Hong Kong Football Club JSA,v,i-Mask Advance Squash Club L4,Hong Kong Football Club,19:00,,15,21/02/2025
Hong Kong Football Club L4,v,JESSICA L4,Hong Kong Football Club,19:00,,15,21/02/2025
JESSICA Smashin' Mochi,v,Electrify Squash Ladies,HK Squash Centre,19:00,,15,21/02/2025
Hong Kong Cricket Club L4,v,[BYE],,,,15,21/02/2025
JESSICA Smashin' Mochi,v,Hong Kong Cricket Club L4,HK Squash Centre,19:00,,16,28/02/2025
Electrify Squash Ladies,v,Hong Kong Football Club L4,HK Squash Centre,19:00,,16,28/02/2025
JESSICA L4,v,i-Mask Advance Squash Club L4,HK Squash Centre,19:00,,16,28/02/2025
Hong Kong Football Club JSA,v,[BYE],,,,16,28/02/2025
JESSICA L4,v,Hong Kong Football Club JSA,HK Squash Centre,19:00,,17,07/03/2025
Electrify Squash Ladies,v,i-Mask Advance Squash Club L4,Cornwall Street Squash Centre,19:00,,17,07/03/2025
Hong Kong Football Club L4,v,Hong Kong Cricket Club L4,Hong Kong Football Club,19:00,,17,07/03/2025
JESSICA Smashin' Mochi,v,[BYE],,,,17,07/03/2025
JESSICA Smashin' Mochi,v,Hong Kong Football Club L4,HK Squash Centre,19:00,,18,14/03/2025
i-Mask Advance Squash Club L4,v,Hong Kong Cricket Club L4,Cornwall Street Squash Centre,19:00,,18,14/03/2025
Hong Kong Football Club JSA,v,Electrify Squash Ladies,Hong Kong Football Club,19:00,,18,14/03/2025
JESSICA L4,v,[BYE],,,,18,14/03/2025
Electrify Squash Ladies,v,JESSICA L4,HK Squash Centre,19:00,,19,21/03/2025
Hong Kong Cricket Club L4,v,Hong Kong Football Club JSA,Hong Kong Cricket Club,19:00,,19,21/03/2025
i-Mask Advance Squash Club L4,v,JESSICA Smashin' Mochi,Cornwall Street Squash Centre,19:00,,19,21/03/2025
Hong Kong Football Club L4,v,[BYE],,,,19,21/03/2025
Hong Kong Football Club L4,v,i-Mask Advance Squash Club L4,Hong Kong Football Club,19:00,,20,28/03/2025
JESSICA Smashin' Mochi,v,Hong Kong Football Club JSA,HK Squash Centre,19:00,,20,28/03/2025
Hong Kong Cricket Club L4,v,JESSICA L4,Hong Kong Cricket Club,19:00,,20,28/03/2025
Electrify Squash Ladies,v,[BYE],,,,20,28/03/2025
i-Mask Advance Squash Club L4,v,Hong Kong Football Club JSA,Cornwall Street Squash Centre,19:00,,21,11/04/2025
JESSICA L4,v,Hong Kong Football Club L4,HK Squash Centre,19:00,,21,11/04/2025
Electrify Squash Ladies,v,JESSICA Smashin' Mochi,HK Squash Centre,19:00,,21,11/04/2025
Hong Kong Cricket Club L4,v,[BYE],,,,21,11/04/2025
