Home Team,vs,Away Team,Venue,Time,Result,Match Week,Date
Electrify Squash Div 19,v,TNG 3,HK Squash Centre,17:00,"2-3(2-3,3-0,3-1,1-3,0-3)",12,03/02/2024
Squashathon 2,v,RELAY 2,HK Squash Centre,17:00,"4-1(3-0,3-0,3-0,0-3,3-0)",12,03/02/2024
United Services Recreation Club 4,v,Hong Kong International School D19,United Services Recreation Club,17:00,"1-4(3-0,0-3,1-3,0-3,1-3)",12,03/02/2024
X-Alpha 6,v,SocGen Squash,Cornwall Street Squash Centre,17:00,"3-2(3-0,0-3,3-0,0-3,CR)",12,03/02/2024
The 8 Virtues,v,Sha Tin Squash Rackets Club 8,HK Squash Centre,17:00,"2-3(2-3,3-1,2-1,CR,CR)",12,03/02/2024
The 8 Virtues,v,8 Virtues + 1,HK Squash Centre,17:00,"3-2(3-1,3-0,0-3,0-3,3-2)",13,24/02/2024
Sha Tin Squash Rackets Club 8,v,X-Alpha 6,Cornwall Street Squash Centre,17:00,"5-0(CR,CR,CR,CR,CR)",13,24/02/2024
United Services Recreation Club 4,v,SocGen Squash,United Services Recreation Club,17:00,"2-3(0-3,0-3,3-2,0-3,CR)",13,24/02/2024
Hong Kong International School D19,v,Squashathon 2,HK Squash Centre,17:00,"4-1(0-3,3-0,3-0,3-0,3-0)",13,24/02/2024
Electrify Squash Div 19,v,RELAY 2,HK Squash Centre,17:00,"4-1(3-0,3-0,3-0,3-0,0-3)",13,24/02/2024
TNG 3,v,Hong Kong Football Club 19,Cornwall Street Squash Centre,17:00,"3-2(2-3,2-3,3-0,CR,CR)",13,24/02/2024
8 Virtues + 1,v,TNG 3,HK Squash Centre,17:00,"1-4(0-3,2-3,3-1,0-3,1-3)",14,02/03/2024
Hong Kong Football Club 19,v,RELAY 2,Hong Kong Football Club,17:00,"5-0(3-0,3-0,3-0,3-0,3-0)",14,02/03/2024
Electrify Squash Div 19,v,Hong Kong International School D19,HK Squash Centre,17:00,"3-2(3-0,0-3,3-1,3-0,0-3)",14,02/03/2024
Squashathon 2,v,SocGen Squash,HK Squash Centre,17:00,"3-2(0-3,3-0,3-0,0-3,CR)",14,02/03/2024
United Services Recreation Club 4,v,Sha Tin Squash Rackets Club 8,United Services Recreation Club,17:00,"2-3(0-3,0-3,3-0,3-1,1-3)",14,02/03/2024
X-Alpha 6,v,The 8 Virtues,Cornwall Street Squash Centre,17:00,"0-5(0-3,1-3,0-3,CR,CR)",14,02/03/2024
X-Alpha 6,v,8 Virtues + 1,Cornwall Street Squash Centre,17:00,"3-2(3-0,3-0,2-3,3-0,1-3)",15,09/03/2024
The 8 Virtues,v,United Services Recreation Club 4,HK Squash Centre,17:00,,15,09/03/2024
Sha Tin Squash Rackets Club 8,v,Squashathon 2,Cornwall Street Squash Centre,17:00,"1-4(2-3,1-3,0-3,0-3,3-1)",15,09/03/2024
SocGen Squash,v,Electrify Squash Div 19,HK Squash Centre,17:00,"3-2(3-0,3-0,3-1,0-3,0-3)",15,09/03/2024
Hong Kong Football Club 19,v,Hong Kong International School D19,Hong Kong Football Club,17:00,"1-4(0-3,0-3,0-3,3-0,2-3)",15,09/03/2024
RELAY 2,v,TNG 3,Sir Denys Roberts Squash Court,17:00,"0-5(0-3,0-3,2-3,0-3,0-3)",15,09/03/2024
8 Virtues + 1,v,RELAY 2,HK Squash Centre,17:00,,16,16/03/2024
TNG 3,v,Hong Kong International School D19,Cornwall Street Squash Centre,17:00,,16,16/03/2024
Hong Kong Football Club 19,v,SocGen Squash,Hong Kong Football Club,17:00,,16,16/03/2024
Electrify Squash Div 19,v,Sha Tin Squash Rackets Club 8,HK Squash Centre,17:00,,16,16/03/2024
Squashathon 2,v,The 8 Virtues,HK Squash Centre,17:00,,16,16/03/2024
X-Alpha 6,v,United Services Recreation Club 4,Cornwall Street Squash Centre,17:00,,16,16/03/2024
United Services Recreation Club 4,v,8 Virtues + 1,United Services Recreation Club,17:00,,17,23/03/2024
X-Alpha 6,v,Squashathon 2,Cornwall Street Squash Centre,17:00,,17,23/03/2024
The 8 Virtues,v,Electrify Squash Div 19,HK Squash Centre,17:00,,17,23/03/2024
Sha Tin Squash Rackets Club 8,v,Hong Kong Football Club 19,Cornwall Street Squash Centre,17:00,,17,23/03/2024
SocGen Squash,v,TNG 3,HK Squash Centre,17:00,,17,23/03/2024
Hong Kong International School D19,v,RELAY 2,HK Squash Centre,17:00,,17,23/03/2024
8 Virtues + 1,v,Hong Kong International School D19,HK Squash Centre,17:00,,18,06/04/2024
RELAY 2,v,SocGen Squash,Sir Denys Roberts Squash Court,17:00,,18,06/04/2024
TNG 3,v,Sha Tin Squash Rackets Club 8,Cornwall Street Squash Centre,17:00,,18,06/04/2024
Hong Kong Football Club 19,v,The 8 Virtues,Hong Kong Football Club,17:00,,18,06/04/2024
Electrify Squash Div 19,v,X-Alpha 6,HK Squash Centre,17:00,,18,06/04/2024
Squashathon 2,v,United Services Recreation Club 4,HK Squash Centre,17:00,,18,06/04/2024
Squashathon 2,v,8 Virtues + 1,HK Squash Centre,17:00,,19,13/04/2024
United Services Recreation Club 4,v,Electrify Squash Div 19,United Services Recreation Club,17:00,,19,13/04/2024
X-Alpha 6,v,Hong Kong Football Club 19,Cornwall Street Squash Centre,17:00,,19,13/04/2024
The 8 Virtues,v,TNG 3,HK Squash Centre,17:00,,19,13/04/2024
Sha Tin Squash Rackets Club 8,v,RELAY 2,Cornwall Street Squash Centre,17:00,,19,13/04/2024
SocGen Squash,v,Hong Kong International School D19,HK Squash Centre,17:00,,19,13/04/2024
8 Virtues + 1,v,SocGen Squash,HK Squash Centre,17:00,,20,20/04/2024
Hong Kong International School D19,v,Sha Tin Squash Rackets Club 8,HK Squash Centre,17:00,,20,20/04/2024
RELAY 2,v,The 8 Virtues,Sir Denys Roberts Squash Court,17:00,,20,20/04/2024
TNG 3,v,X-Alpha 6,Cornwall Street Squash Centre,17:00,,20,20/04/2024
Hong Kong Football Club 19,v,United Services Recreation Club 4,Hong Kong Football Club,17:00,,20,20/04/2024
Electrify Squash Div 19,v,Squashathon 2,Cornwall Street Squash Centre,17:00,,20,20/04/2024
Electrify Squash Div 19,v,8 Virtues + 1,Cornwall Street Squash Centre,17:00,,21,27/04/2024
Squashathon 2,v,Hong Kong Football Club 19,HK Squash Centre,17:00,,21,27/04/2024
United Services Recreation Club 4,v,TNG 3,United Services Recreation Club,17:00,,21,27/04/2024
X-Alpha 6,v,RELAY 2,Cornwall Street Squash Centre,17:00,,21,27/04/2024
The 8 Virtues,v,Hong Kong International School D19,HK Squash Centre,17:00,,21,27/04/2024
Sha Tin Squash Rackets Club 8,v,SocGen Squash,Cornwall Street Squash Centre,17:00,,21,27/04/2024
8 Virtues + 1,v,Sha Tin Squash Rackets Club 8,HK Squash Centre,17:00,,22,04/05/2024
SocGen Squash,v,The 8 Virtues,HK Squash Centre,17:00,,22,04/05/2024
Hong Kong International School D19,v,X-Alpha 6,HK Squash Centre,17:00,,22,04/05/2024
RELAY 2,v,United Services Recreation Club 4,Sir Denys Roberts Squash Court,17:00,,22,04/05/2024
TNG 3,v,Squashathon 2,Cornwall Street Squash Centre,17:00,,22,04/05/2024
Hong Kong Football Club 19,v,Electrify Squash Div 19,Hong Kong Football Club,17:00,,22,04/05/2024
