Home Team,Away Team,Venue,Match Week,Date,Overall Score,Rubbers,Home Score,Away Score,Home Games Won,Away Games Won
Dragonfly,Dr. Squash 3,Wai Tsuen (WTSC),14,02/02/2018,5-0,"['3-0', '3-1', '3-1', '3-0', 'WO']",5,0,15,2
Vitality Squash 2,The Zero Squash Club 4,HK Squash Centre (HKSC),15,09/02/2018,2-3,"['3-1', '3-2', '0-3', '0-3', '0-3']",2,3,6,12
Dr. Squash 3,i-Mask Advance Squash Club 14,HK Squash Centre (HKSC),15,09/02/2018,0-5,"['0-3', '0-3', '0-3', '2-3', '0-3']",0,5,2,15
CPS,Dragonfly,Kwun Chung (KCSC),15,09/02/2018,0-5,"['1-3', '0-3', '0-3', '1-3', '0-3']",0,5,2,15
Fung King 4,Citra Squash Team,Tai Wo Hau (TWHSC),15,09/02/2018,2-3,"['2-3', '0-3', '0-3', 'WO', 'WO']",2,3,2,15
Kinetic 7,Friend Club 9,Kwun Chung (KCSC),15,09/02/2018,5-0,"['3-0', '3-0', '3-1', '3-0', '3-0']",5,0,15,1
Vitality Squash 2,Dragonfly,HK Squash Centre (HKSC),16,02/03/2018,1-4,"['3-2', '0-3', 'WO', '1-3', 'WO']",1,4,4,14
Fung King 4,Dr. Squash 3,Lai King (LKSC),16,02/03/2018,4-1,"['3-0', '3-0', '1-3', '3-0', 'WO']",4,1,13,3
i-Mask Advance Squash Club 14,CPS,Cornwall Street (CSPSC),16,02/03/2018,5-0,"['3-0', '3-0', '3-0', '3-0', '3-0']",5,0,15,0
The Zero Squash Club 4,Friend Club 9,Cornwall Street (CSPSC),16,02/03/2018,3-2,"['3-0', '3-0', '1-3', '1-3', '3-0']",3,2,11,6
Kinetic 7,Citra Squash Team,Kwun Chung (KCSC),16,02/03/2018,3-2,"['3-1', '1-3', '1-3', 'CR', 'CR']",3,2,11,7
Fung King 4,CPS,Tai Wo Hau (TWHSC),17,09/03/2018,5-0,"['3-0', '3-0', '3-0', '3-0', '3-0']",5,0,15,0
Dr. Squash 3,Kinetic 7,HK Squash Centre (HKSC),17,09/03/2018,0-5,"['0-3', '1-3', '0-3', '0-3', '0-3']",0,5,1,15
Vitality Squash 2,i-Mask Advance Squash Club 14,HK Squash Centre (HKSC),17,09/03/2018,1-4,"['3-2', '0-3', '0-3', '0-3', '0-3']",1,4,3,14
Citra Squash Team,Friend Club 9,Kwun Chung (KCSC),17,09/03/2018,3-2,"['3-0', '3-1', '3-2', 'WO', 'WO']",3,2,15,3
Dragonfly,The Zero Squash Club 4,Wai Tsuen (WTSC),17,09/03/2018,4-1,"['3-0', '3-1', '3-1', '3-1', '0-3']",4,1,12,6
i-Mask Advance Squash Club 14,Dragonfly,Cornwall Street (CSPSC),18,16/03/2018,5-0,"['3-2', '3-0', '3-0', '3-0', '3-0']",5,0,15,2
The Zero Squash Club 4,Citra Squash Team,Cornwall Street (CSPSC),18,16/03/2018,5-0,"['CR', 'CR', 'CR', 'CR', 'CR']",5,0,15,0
Kinetic 7,CPS,Kwun Chung (KCSC),18,16/03/2018,5-0,"['3-0', '3-0', '3-0', '3-0', '3-0']",5,0,15,0
Friend Club 9,Dr. Squash 3,Pei Ho Street (PHSSC),18,16/03/2018,0-5,"['0-3', '1-3', '0-3', 'WO', 'WO']",0,5,1,15
Fung King 4,Kinetic 7,Cheung Fat (CFSC),19,23/03/2018,0-5,"['0-3', '0-3', '1-3', '1-3', '0-3']",0,5,2,15
