Team,Played,Won,Lost,Points,Division,Season,Rank,Rubbers For,Rubbers Against
Friend Club 1,11,7,4,39,4,2021-2022,4,,
Friend Club 1,21,15,6,82,4,2022-2023,3,,
Friend Club 1,21,9,12,38,3,2018-2019,6,,
Friend Club 10,20,9,11,41,19,2017-2018,10,,
Friend Club 2,7,2,5,16,9,2019-2020,7,,
Friend Club 2,18,1,17,18,8,2022-2023,10,,
Friend Club 2,20,0,20,-1,4,2018-2019,6,,
Friend Club 2,16,2,14,0,5,2017-2018,9,,
Friend Club 2,22,7,15,48,7,2023-2024,9,,
Friend Club 2,21,3,18,16,5,2016-2017,8,,
Friend Club 2,11,6,5,34,5,2021-2022,3,,
Friend Club 3,11,4,7,28,7,2021-2022,8,,
Friend Club 3,21,3,18,32,10,2022-2023,8,,
Friend Club 3,22,9,13,56,7,2018-2019,8,,
Friend Club 3,18,4,14,24,7A,2017-2018,9,,
Friend Club 3,20,2,18,23,6,2016-2017,11,,
Friend Club 3,7,6,1,35,9,2019-2020,2,,
Friend Club 3,4,1,3,7,6,2024-2025,7,6.0,14.0
Friend Club 4,18,10,8,60,7B,2017-2018,4,,
Friend Club 4,20,10,10,60,8,2018-2019,6,,
Friend Club 4,18,4,14,31,12B,2023-2024,5,,
Friend Club 4,21,16,5,83,10,2022-2023,2,,
Friend Club 4,18,3,15,36,7A,2016-2017,6,,
Friend Club 4,12,0,12,7,8,2021-2022,8,,
Friend Club 4,10,2,8,12,12A,2019-2020,8,,
Friend Club 5,16,4,12,36,12B,2022-2023,7,,
Friend Club 5,18,18,0,99,12B,2018-2019,1,,
Friend Club 5,11,1,10,13,10,2021-2022,11,,
Friend Club 5,18,17,1,87,8B,2016-2017,1,,
Friend Club 5,16,9,7,56,13,2023-2024,5,,
Friend Club 5,11,0,11,6,17B,2019-2020,7,,
Friend Club 5,18,6,12,36,10,2017-2018,8,,
Friend Club 6,14,0,14,9,12A,2017-2018,8,,
Friend Club 6,18,5,13,12,12A,2022-2023,9,,
Friend Club 6,21,2,19,17,17B,2018-2019,8,,
Friend Club 6,21,2,19,23,17A,2023-2024,7,,
Friend Club 6,18,5,13,17,12A,2016-2017,7,,
Friend Club 6,11,11,0,59,10,2021-2022,1,,
Friend Club 7,18,1,17,23,12B,2017-2018,7,,
Friend Club 7,10,6,4,40,12B,2021-2022,3,,
Friend Club 7,20,3,17,13,14,2016-2017,10,,
Friend Club 7,18,5,13,39,17B,2022-2023,6,,
Friend Club 8,10,2,8,17,17A,2021-2022,5,,
Friend Club 8,16,0,16,6,17A,2016-2017,9,,
Friend Club 8,17,6,11,32,14,2017-2018,9,,
Friend Club 9,17,2,15,17,17B,2017-2018,10,,
Friend Club 9,18,13,5,73,18A,2016-2017,2,,
Friend Club Ladies,20,3,17,19,L3,2022-2023,6,,
Friend Club Ladies,11,6,5,26,L3,2021-2022,3,,
Friend Club Master,11,3,8,23,M3,2021-2022,6,,
Friend Club Master,20,17,3,95,M2,2016-2017,1,,
Friend Club Masters,18,11,7,60,M2,2018-2019,4,,
Fung King 1,16,14,2,74,5,2017-2018,2,,
Fung King 1,21,14,7,76,5,2016-2017,5,,
Fung King 2,18,14,4,71,12B,2016-2017,1,,
Fung King 2,18,10,8,58,7A,2017-2018,4,,
Fung King 3,18,10,8,53,17A,2017-2018,6,,
Fung King 3,16,3,13,27,17A,2016-2017,8,,
Fung King 4,16,6,10,33,17B,2016-2017,6,,
Fung King 4,17,8,8,44,17B,2017-2018,5,,
Fung King Tough,22,18,4,96,7,2018-2019,1,,
Fusion Squash Club 1,22,5,17,29,7,2023-2024,11,,
Fusion Squash Club 1,18,5,13,38,5,2022-2023,8,,
Fusion Squash Club 1,8,2,6,10,3,2021-2022,5,,
Fusion Squash Club 1,3,3,0,14,8B,2024-2025,2,11.0,4.0
Fusion Squash Club 2,11,7,4,43,7,2021-2022,3,,
Fusion Squash Club 2,3,3,0,14,13B,2024-2025,3,11.0,4.0
Fusion Squash Club 2,18,14,4,72,12A,2022-2023,3,,
Fusion Squash Club 2,21,15,6,94,17A,2023-2024,2,,
Fusion Squash Club 3,10,5,5,35,12B,2021-2022,5,,
Fusion Squash Club 3,22,4,18,26,18,2023-2024,11,,
Fusion Squash Club 3,18,9,9,47,17B,2022-2023,4,,
Fusion Squash Club 3,4,2,2,13,15B,2024-2025,4,11.0,9.0
Fusion Squash Club 4,21,7,14,41,18,2022-2023,7,,
Fusion Squash Club 4,11,5,6,37,17B,2021-2022,5,,
Fusion Squash Club 5,7,3,4,19,19B,2021-2022,6,,
Fusion Squash Club 5,18,5,13,41,19,2022-2023,7,,
GLOMA,20,13,7,67,M2,2016-2017,3,,
GS 1,20,17,3,95,6,2016-2017,1,,
GS 1,18,15,3,68,7B,2017-2018,2,,
GS 2,16,10,6,56,12A,2017-2018,3,,
GS 2,21,16,5,84,7B,2016-2017,2,,
GS 3,16,13,3,67,17B,2016-2017,2,,
GS 4,18,8,10,45,18B,2016-2017,5,,
Giant 1,18,8,10,47,4,2017-2018,7,,
Giant 1,18,14,4,64,12B,2018-2019,3,,
Giant 2,15,13,2,58,L2,2017-2018,2,,
Giant 2,21,20,1,108,17A,2018-2019,1,,
Giant 3,18,6,12,28,7B,2017-2018,8,,
Giant 3,21,10,11,58,17B,2018-2019,5,,
Giant 4,22,15,7,82,18,2018-2019,4,,
Giant 4,18,13,5,71,17A,2017-2018,3,,
Global 1,21,10,11,59,6,2017-2018,4,,
Global 1,20,14,6,76,8A,2016-2017,2,,
Global 1,18,12,6,70,8,2022-2023,2,,
Global 1,18,7,11,44,6,2018-2019,7,,
Global 1,10,4,6,27,6,2019-2020,6,,
Global 2,10,9,1,46,16,2019-2020,1,,
Global 2,18,11,7,63,16,2017-2018,4,,
Global 2,22,16,6,90,16,2018-2019,4,,
Global 2,20,12,8,68,14,2016-2017,5,,
Global 3,18,5,13,38,18A,2016-2017,6,,
Global Squash 1,12,8,4,39,8,2021-2022,4,,
Global Squash 1,4,1,3,7,6,2024-2025,8,6.0,14.0
Global Squash 1,16,7,9,51,8,2023-2024,5,,
Global Squash 2,22,19,3,103,16,2023-2024,2,,
Global Squash 2,20,7,13,47,16,2022-2023,8,,
Global Squash 2,12,11,1,60,16,2021-2022,1,,
Global Squash 2,4,3,1,14,11,2024-2025,3,11.0,9.0
Gloma,16,12,4,65,M4,2017-2018,3,,
Graduated,18,1,17,18,7B,2017-2018,9,,
Greenfield,3,3,0,14,13A,2024-2025,2,11.0,4.0
Greenfield,9,9,0,43,15A,2021-2022,1,,
Greenfield,16,13,3,70,13,2023-2024,1,,
Greenfield,16,6,10,43,12B,2022-2023,6,,
Greenfield,10,8,2,45,15,2019-2020,2,,
HDSC,8,3,5,15,18,2019-2020,8,,
HDSC 1,18,10,8,67,19B,2018-2019,3,,
HDSC 1,21,6,15,48,19,2017-2018,8,,
HEAD SHATIN 1,9,2,7,18,4,2019-2020,8,,
HEAD SHATIN 2,10,9,1,44,6,2019-2020,1,,
HEAD SHATIN 3,9,2,7,17,8,2019-2020,5,,
HEAD SHATIN 4,10,5,5,31,15,2019-2020,5,,
HEAD SHATIN 5,11,9,2,43,17A,2019-2020,3,,
HEAD SHATIN 6,8,6,2,33,18,2019-2020,5,,
HEAD SHATIN 7,7,3,4,24,19A,2019-2020,5,,
HK Club Blue,16,4,12,25,M4,2018-2019,7,,
HK Club Blue,21,6,15,28,M4,2016-2017,6,,
HK Club Gold,20,10,10,49,M1,2018-2019,4,,
HK Club Gold,16,10,6,47,M1,2017-2018,2,,
HK Club Gold,11,1,10,12,M1,2021-2022,6,,
HK Club Gold,21,14,7,68,M1,2016-2017,3,,
HK Squash Gear,18,3,15,3,17B,2023-2024,7,,
HKCC TUESDAY NIGHT ROCKERS,10,9,1,45,15,2019-2020,1,,
HKCC Tuesday Night Rockers,22,9,13,58,15,2018-2019,9,,
HKCC Tuesday Night Rockers,21,6,15,42,15A,2017-2018,6,,
HKCC Tuesday Night Rockers,3,0,3,4,11,2024-2025,11,4.0,11.0
HKCC Wednesday Night Rockers,20,18,2,98,16B,2016-2017,1,,
HKFS,22,18,4,98,15,2018-2019,1,,
HKFS,10,1,9,-1,15,2019-2020,10,,
HKIS Div 13,3,1,2,7,13B,2024-2025,8,6.0,9.0
HKIS Div 15,4,2,2,12,15A,2024-2025,3,10.0,10.0
HKPF Squash Team,5,1,4,12,9,2024-2025,5,11.0,14.0
HKPF Squash Team,18,15,3,79,15A,2022-2023,1,,
HKPF Squash Team,12,2,10,27,13A,2021-2022,7,,
HKPF Squash Team,21,15,6,84,14,2023-2024,1,,
HKU,16,5,11,31,10,2023-2024,8,,
HKU,16,9,7,52,12B,2022-2023,4,,
HKU 1,16,4,12,29,5,2017-2018,7,,
HKU 1,16,4,12,26,4,2016-2017,8,,
HKU 1,18,6,12,36,6,2018-2019,9,,
HKU 1,10,1,9,12,6,2019-2020,10,,
HKU 2,21,5,16,36,11A,2018-2019,7,,
HKU 2,9,2,7,19,11,2021-2022,7,,
HKU 2,21,1,20,5,7B,2016-2017,8,,
HKU 2,9,4,5,26,11,2019-2020,6,,
HKU 2,22,15,7,76,11,2017-2018,4,,
Hang Seng Management College,15,3,12,16,8,2017-2018,9,,
Happy Squash 1,3,2,1,10,3,2024-2025,5,8.0,7.0
Happy Squash 1,21,17,4,95,4,2022-2023,2,,
Happy Squash 1,16,6,10,43,3,2023-2024,4,,
Happy Squash 2,16,7,9,41,7,2022-2023,5,,
Happy Squash 2,3,2,1,11,5,2024-2025,4,9.0,6.0
Happy Squash 2,22,10,12,61,7,2023-2024,8,,
Happy Squash 3,21,10,11,65,17A,2023-2024,4,,
