Team,Played,Won,Lost,Points,Division,Season,Rank,Rubbers For,Rubbers Against
Kinetic 3,4,4,0,16,11,2024-2025,2,12.0,8.0
Kinetic 3,22,20,2,109,16,2023-2024,1,,
Kinetic 3,22,7,15,48,11,2017-2018,10,,
Kinetic 3,20,16,4,89,16,2022-2023,2,,
Kinetic 4,16,6,10,44,12A,2017-2018,6,,
Kinetic 4,21,5,16,40,13A,2018-2019,6,,
Kinetic 4,18,7,11,52,12A,2016-2017,4,,
Kinetic 4,12,6,6,33,16,2021-2022,8,,
Kinetic 4,3,0,3,2,13B,2024-2025,11,2.0,13.0
Kinetic 4,10,4,6,25,13A,2019-2020,7,,
Kinetic 5,20,14,6,81,14,2017-2018,4,,
Kinetic 5,16,13,3,73,14,2018-2019,1,,
Kinetic 5,9,4,5,24,15,2019-2020,7,,
Kinetic 5,20,16,4,84,14,2016-2017,3,,
Kinetic 6,21,6,15,40,15,2016-2017,9,,
Kinetic 6,11,4,7,24,17A,2019-2020,5,,
Kinetic 6,18,11,7,63,15B,2017-2018,2,,
Kinetic 6,22,7,15,46,15,2018-2019,11,,
Kinetic 7,18,15,3,86,17B,2017-2018,2,,
Kinetic 7,21,11,10,64,17B,2018-2019,4,,
Kinetic 7,16,0,16,18,17B,2016-2017,9,,
Kinetic 8,18,3,15,13,19B,2018-2019,6,,
Kowloon Cricket Club 10,16,12,4,65,10,2023-2024,3,,
Kowloon Cricket Club 13,16,13,3,65,13,2023-2024,3,,
Kowloon Cricket Club 14,4,2,2,13,14,2024-2025,4,11.0,9.0
Kowloon Cricket Club 18,22,14,8,82,18,2023-2024,4,,
Kowloon Cricket Club 1A,3,3,0,10,Premier Main,2024-2025,1,7.0,2.0
Kowloon Cricket Club 1A,8,2,6,10,1,2023-2024,5,,
Kowloon Cricket Club 1B,8,3,5,13,1,2023-2024,4,,
Kowloon Cricket Club 1B,3,0,3,1,Premier Main,2024-2025,6,1.0,8.0
Kowloon Cricket Club 2,3,3,0,13,2,2024-2025,1,10.0,2.0
Kowloon Cricket Club 2A,16,14,2,72,2,2023-2024,1,,
Kowloon Cricket Club 2B,16,10,6,52,2,2023-2024,3,,
Kowloon Cricket Club 3,16,13,3,65,3,2023-2024,1,,
Kowloon Cricket Club 3A,4,3,1,18,3,2024-2025,2,15.0,5.0
Kowloon Cricket Club 3B,3,2,1,10,3,2024-2025,4,8.0,7.0
Kowloon Cricket Club 4,4,3,1,16,4,2024-2025,3,13.0,7.0
Kowloon Cricket Club 4,20,15,5,82,4,2023-2024,2,,
Kowloon Cricket Club 5,16,13,3,69,5,2023-2024,3,,
Kowloon Cricket Club 6A,4,3,1,18,6,2024-2025,3,15.0,5.0
Kowloon Cricket Club 6B,4,4,0,21,6,2024-2025,1,17.0,3.0
Kowloon Cricket Club 7,22,14,8,80,7,2023-2024,4,,
Kowloon Cricket Club 7,4,3,1,16,7B,2024-2025,2,13.0,7.0
Kowloon Cricket Club 8,16,12,4,63,8,2023-2024,2,,
Kowloon Cricket Club 9,4,2,2,12,9,2024-2025,4,10.0,10.0
Kowloon Cricket Club L1A,2,1,1,4,Premier Ladies,2024-2025,3,3.0,3.0
Kowloon Cricket Club L1A,10,7,3,26,L1,2023-2024,2,,
Kowloon Cricket Club L1B,3,1,2,5,Premier Ladies,2024-2025,2,4.0,5.0
Kowloon Cricket Club L1B,10,6,4,25,L1,2023-2024,3,,
Kowloon Cricket Club L2,20,16,4,82,L2,2023-2024,2,,
Kowloon Cricket Club L2,4,4,0,14,L2,2024-2025,1,10.0,6.0
Kowloon Cricket Club M3,5,1,4,7,M3,2024-2025,7,6.0,19.0
Kowloon Cricket Club M3,16,12,4,67,M3,2023-2024,2,,
Kwai Tsing District Squah Club 3,18,13,5,69,17A,2017-2018,4,,
Kwai Tsing District Squash Club,5,3,2,16,9,2024-2025,3,13.0,12.0
Kwai Tsing District Squash Club,21,15,6,83,18,2022-2023,2,,
Kwai Tsing District Squash Club 1,21,10,11,66,13A,2018-2019,5,,
Kwai Tsing District Squash Club 1,9,7,2,40,13B,2019-2020,1,,
Kwai Tsing District Squash Club 1,20,18,2,100,14,2017-2018,2,,
Kwai Tsing District Squash Club 2,18,16,2,84,15B,2017-2018,1,,
Kwai Tsing District Squash Club 2,21,4,17,30,17B,2018-2019,6,,
Kwai Tsing District Squash Club 2,11,7,4,43,17B,2019-2020,3,,
Kwai Tsing District Squash Club 3,8,4,4,25,19B,2019-2020,4,,
Kwai Tsing District Squash Club 3,22,6,16,40,18,2018-2019,10,,
Kwai Tsing District Squash Club 4,22,15,7,86,18,2017-2018,3,,
LCC,12,12,0,53,13A,2021-2022,1,,
LONGVIEW,3,0,3,2,8B,2024-2025,8,2.0,13.0
LRC Div 19,18,17,1,91,19,2022-2023,1,,
Ladies Recreation Club Div 12,21,5,16,35,12A,2023-2024,7,,
Ladies Recreation Club Div 14,4,4,0,19,14,2024-2025,1,15.0,5.0
Ladies Recreation Club Div 18,22,13,9,80,18,2023-2024,5,,
Ladies Recreation Club Div 8,3,3,0,14,8A,2024-2025,1,11.0,4.0
Ladies Recreation Club M1,2,1,1,5,Premier Masters,2024-2025,4,4.0,2.0
Ladies Recreation Club M1,16,9,7,43,M1,2023-2024,3,,
Ladies Recreation Club M2,16,7,9,44,M2,2023-2024,6,,
Ladies Recreation Club M2A,5,1,4,8,M2,2024-2025,5,7.0,13.0
Ladies Recreation Club M2B,5,1,4,7,M2,2024-2025,6,6.0,14.0
Latecomers,22,2,20,18,16,2023-2024,11,,
Latecomers,18,0,18,6,16,2017-2018,10,,
Latecomers,21,4,17,17,17B,2018-2019,7,,
Latecomers,19,6,13,31,16B,2016-2017,4,,
Latecomers,20,2,18,12,16,2022-2023,10,,
Latecomers,4,0,4,3,12,2024-2025,11,3.0,17.0
Latecomers,10,0,10,11,16,2019-2020,11,,
Latecomers,12,1,11,12,16,2021-2022,11,,
Les Femmes Du Squash,18,4,14,33,L3,2017-2018,5,,
Los Galacticos,22,3,19,6,11,2017-2018,12,,
M&M Squash,3,1,2,6,13A,2024-2025,10,5.0,10.0
MASS,17,5,12,11,16A,2016-2017,6,,
MASS,12,4,8,25,16,2021-2022,9,,
MASS,18,13,5,72,16,2017-2018,3,,
MERCURY,21,7,14,50,12A,2023-2024,5,,
MERCURY,16,5,11,29,12B,2022-2023,9,,
MERCURY,3,2,1,9,8B,2024-2025,4,7.0,8.0
MIRROR & ERROR,11,9,2,45,17B,2021-2022,2,,
Mad Hatters,20,13,7,74,16B,2016-2017,3,,
Mad Hatters,17,5,12,33,15B,2017-2018,6,,
Mad Hatters,10,7,3,39,17B,2019-2020,4,,
Mark Six,22,1,21,5,15,2018-2019,12,,
Mark Six,18,8,10,48,16A,2016-2017,4,,
Mark Six,20,6,14,37,14,2017-2018,7,,
Mark Six,11,8,3,44,17B,2019-2020,2,,
Martinis,12,8,4,43,13A,2021-2022,2,,
Martinis,16,4,12,24,11,2022-2023,5,,
Martinis,18,13,5,72,12A,2018-2019,1,,
Martinis,9,3,6,19,11,2019-2020,9,,
Mass,10,3,7,18,16,2019-2020,9,,
Mass,22,2,20,25,16,2018-2019,11,,
Mercury,21,16,5,83,13B,2018-2019,2,,
Mercury,21,13,8,68,12B,2017-2018,3,,
Mercury,11,8,3,45,12A,2019-2020,1,,
MoveOnLoL,18,5,13,11,18A,2016-2017,7,,
NEXUS 1,3,0,3,5,3,2024-2025,7,5.0,10.0
NEXUS 2,4,1,3,10,4,2024-2025,6,9.0,11.0
NEXUS 3,3,1,2,8,8B,2024-2025,5,7.0,8.0
NOVICE,18,6,12,34,16,2017-2018,7,,
Neptune,21,5,16,38,7B,2016-2017,7,,
Neptune,22,8,14,48,7,2018-2019,10,,
Neptune,18,5,13,34,7A,2017-2018,8,,
Neptune,11,0,11,6,7,2021-2022,10,,
Neptune,11,4,7,27,7,2019-2020,7,,
North District Sport Association 1,10,9,1,44,13A,2019-2020,1,,
North District Sport Association 2,9,8,1,43,19A,2019-2020,1,,
North District Sports Association 1,21,13,8,78,14,2023-2024,3,,
North District Sports Association 1,5,4,1,21,12,2024-2025,2,17.0,8.0
North District Sports Association 1,9,4,5,26,15A,2021-2022,5,,
North District Sports Association 1,18,6,12,39,12A,2018-2019,6,,
North District Sports Association 1,20,17,3,91,16,2022-2023,1,,
North District Sports Association 2,10,8,2,49,17A,2021-2022,1,,
North District Sports Association 2,18,12,6,75,17A,2022-2023,2,,
North District Sports Association 2,18,17,1,87,17B,2023-2024,1,,
North District Sports Association 2,16,14,2,72,14,2018-2019,2,,
North District Sports Association 2,3,1,2,7,13A,2024-2025,8,6.0,9.0
North District Sports Association 3,4,1,3,9,14,2024-2025,6,8.0,12.0
North District Sports Association 3,6,2,4,15,19A,2021-2022,5,,
North District Sports Association 3,22,10,12,74,18,2023-2024,6,,
North District Sports Association 3,18,15,3,84,19B,2018-2019,1,,
North District Sports Association 3,21,19,2,100,18,2022-2023,1,,
Novice,16,6,10,37,17A,2016-2017,7,,
Old School Fellows,7,2,5,15,9,2019-2020,8,,
Old Squash Fellows,16,7,9,46,M2,2023-2024,5,,
Old Squash Fellows,4,1,3,10,M3,2024-2025,5,9.0,11.0
Old Squash Fellows,18,6,12,40,15A,2022-2023,6,,
Old Squash Fellows,11,1,10,18,10,2021-2022,10,,
Orion Squash,6,4,2,26,19A,2021-2022,2,,
Ossan's Squash,11,8,3,41,10,2021-2022,3,,
PCCW,18,5,13,39,11,2016-2017,8,,
PERRIER SERGIO TACCHINI KCC 1,9,7,2,28,1,2019-2020,1,,
PERRIER SERGIO TACCHINI KCC 2A,6,1,5,14,2,2019-2020,4,,
PERRIER SERGIO TACCHINI KCC 2B,6,6,0,30,2,2019-2020,1,,
PERRIER SERGIO TACCHINI KCC 3,9,7,2,42,3,2019-2020,1,,
PERRIER SERGIO TACCHINI KCC 4,9,6,3,29,4,2019-2020,3,,
PERRIER SERGIO TACCHINI KCC 5,9,9,0,46,5,2019-2020,1,,
PERRIER SERGIO TACCHINI KCC 6,8,6,2,33,8,2019-2020,3,,
PERRIER SERGIO TACCHINI KCC 7,9,7,2,35,11,2019-2020,3,,
PERRIER SERGIO TACCHINI KCC 8,7,1,6,8,19B,2019-2020,6,,
PERRIER SERGIO TACCHINI KCC L1A,9,5,4,22,L1,2019-2020,2,,
PERRIER SERGIO TACCHINI KCC L1B,9,6,3,23,L1,2019-2020,1,,
PERRIER SERGIO TACCHINI KCC M4,10,9,1,49,M4,2019-2020,2,,
PLZ,9,6,3,30,17A,2021-2022,3,,
PLZ,11,0,11,8,17A,2019-2020,8,,
PLZ,20,0,20,-50,14,2016-2017,11,,
PLZ,21,2,19,-9,17A,2018-2019,8,,
PLZ,18,7,11,36,17A,2022-2023,5,,
PSC,12,5,7,34,16,2021-2022,7,,
PSC 1,8,7,1,36,13B,2019-2020,2,,
PSC 2,8,5,3,30,14,2019-2020,4,,
Perrier,7,1,6,12,10,2019-2020,8,,
Perrier KCC 1,12,6,6,20,1,2016-2017,5,,
Perrier KCC 2A,20,12,8,70,2,2016-2017,2,,
Perrier KCC 2B,20,3,17,28,2,2016-2017,6,,
Perrier KCC 3,21,12,9,69,3,2016-2017,4,,
Perrier KCC 4,21,15,6,83,5,2016-2017,3,,
Perrier KCC 5,20,3,17,30,6,2016-2017,9,,
Perrier KCC 6,20,17,3,87,8A,2016-2017,1,,
Perrier KCC 7,21,15,6,83,10,2016-2017,3,,
Perrier KCC 8,20,18,2,94,13,2016-2017,1,,
Perrier KCC L1A,15,14,1,51,L1,2016-2017,1,,
Perrier KCC L1B,15,6,9,27,L1,2016-2017,4,,
Perrier KCC L2,18,16,2,70,L2,2016-2017,2,,
Perrier KCC M3,21,16,5,86,M3,2016-2017,2,,
Perrier Ladies,12,8,4,29,L3,2016-2017,3,,
Perrier Ladies,20,15,5,73,L3,2018-2019,1,,
Perrier Ladies,11,3,8,17,L3,2021-2022,5,,
Perrier Ladies,18,10,8,46,L3,2017-2018,4,,
Perrier Ladies A,11,6,5,30,L3,2019-2020,3,,
Perrier Ladies B,11,5,6,27,L3,2019-2020,4,,
Perrier Mix,17,6,11,32,16,2017-2018,8,,
Perrier Mix,18,17,1,59,19,2016-2017,3,,
Perrier Mix,8,0,8,-4,19B,2019-2020,7,,
Perrier Sergio Tacchini KCC 1,16,13,3,44,1,2017-2018,1,,
Perrier Sergio Tacchini KCC 1,20,15,5,59,1,2018-2019,1,,
Perrier Sergio Tacchini KCC 1,9,9,0,32,1,2021-2022,1,,
Perrier Sergio Tacchini KCC 2A,10,5,5,30,2,2021-2022,3,,
Perrier Sergio Tacchini KCC 2A,15,12,3,62,2,2018-2019,1,,
Perrier Sergio Tacchini KCC 2A,16,12,4,66,2,2017-2018,1,,
Perrier Sergio Tacchini KCC 2B,16,2,14,20,2,2017-2018,5,,
Perrier Sergio Tacchini KCC 2B,10,10,0,44,2,2021-2022,1,,
Perrier Sergio Tacchini KCC 2B,15,4,11,31,2,2018-2019,4,,
Perrier Sergio Tacchini KCC 3,18,16,2,88,4,2017-2018,1,,
Perrier Sergio Tacchini KCC 3,9,4,5,29,3,2021-2022,2,,
Perrier Sergio Tacchini KCC 3,21,18,3,98,3,2018-2019,1,,
Perrier Sergio Tacchini KCC 4,11,9,2,48,4,2021-2022,1,,
Perrier Sergio Tacchini KCC 4,21,18,3,100,6,2017-2018,2,,
Perrier Sergio Tacchini KCC 4,20,14,6,80,4,2018-2019,2,,
Perrier Sergio Tacchini KCC 5,16,11,5,61,8,2017-2018,3,,
Perrier Sergio Tacchini KCC 5,11,10,1,53,5,2021-2022,1,,
Perrier Sergio Tacchini KCC 5,16,11,5,54,5,2018-2019,5,,
Perrier Sergio Tacchini KCC 6,12,11,1,60,8,2021-2022,1,,
Perrier Sergio Tacchini KCC 6,20,19,1,100,8,2018-2019,1,,
Perrier Sergio Tacchini KCC 7,21,12,9,74,11A,2018-2019,5,,
Perrier Sergio Tacchini KCC 7,11,10,1,52,11,2021-2022,1,,
Perrier Sergio Tacchini KCC 7,22,19,3,104,11,2017-2018,2,,
Perrier Sergio Tacchini KCC 8,9,5,4,29,15A,2021-2022,3,,
Perrier Sergio Tacchini KCC 8,21,18,3,97,13B,2018-2019,1,,
Perrier Sergio Tacchini KCC 9,7,2,5,12,19B,2021-2022,7,,
Perrier Sergio Tacchini KCC L1,16,10,6,37,L1,2018-2019,2,,
Perrier Sergio Tacchini KCC L1A,11,6,5,27,L1,2021-2022,2,,
Perrier Sergio Tacchini KCC L1B,9,5,4,18,L1,2021-2022,4,,
Perrier Sergio Tacchini KCC M2,18,18,0,93,M2,2017-2018,1,,
Perrier Sergio Tacchini KCC M4,16,11,5,63,M4,2018-2019,4,,
Perrier Sergio Tacchini KCC M4,9,7,2,34,M4,2021-2022,4,,
Perrier Serigo Tacchini KCC L1A,16,8,8,33,L1,2017-2018,3,,
Perrier Serigo Tacchini KCC L1B,16,2,14,2,L1,2017-2018,5,,
Perrier Serigo Tacchini KCC L2,15,5,10,24,L2,2017-2018,5,,
Perrier Serigo Tacchini KCC M4,16,12,4,69,M4,2017-2018,2,,
Pheonix,18,9,9,58,13,2017-2018,5,,
Phoenix,18,13,5,74,M4,2022-2023,2,,
Phoenix,10,8,2,40,M4,2021-2022,3,,
Phoenix,16,15,1,81,M3,2023-2024,1,,
Phoenix,11,6,5,38,M3,2019-2020,4,,
Phoenix,20,17,3,92,14,2016-2017,2,,
Phoenix 1,16,14,2,75,M4,2018-2019,1,,
Phoenix 2,22,9,13,62,15,2018-2019,7,,
Phresh 1,20,0,20,0,3,2016-2017,8,,
Phresh 2,18,10,8,48,7A,2016-2017,4,,
Phresh 3,18,10,8,58,12A,2016-2017,3,,
Phresh 4,18,11,7,69,19,2016-2017,2,,
Physical Chess 1,22,20,2,111,7,2023-2024,1,,
Physical Chess 1,11,11,0,53,7,2021-2022,1,,
Physical Chess 1,3,3,0,13,5,2024-2025,2,10.0,5.0
Physical Chess 1,9,3,6,21,5,2019-2020,7,,
Physical Chess 2,9,8,1,37,11,2021-2022,2,,
Physical Chess 2,9,9,0,43,11,2019-2020,1,,
Physical Chess 2,16,8,8,42,8,2023-2024,6,,
Physical Chess 2,4,1,3,10,7B,2024-2025,6,9.0,11.0
Physical Chess 3,9,5,4,27,15A,2021-2022,4,,
Physical Chess 3,18,12,6,72,12B,2023-2024,3,,
Physical Chess 3,3,3,0,13,8A,2024-2025,3,10.0,5.0
Physical Chess 4,3,0,3,6,13A,2024-2025,11,6.0,9.0
Physical Chess 4,22,19,3,102,15,2023-2024,1,,
Physical Chess 5,22,12,10,62,18,2023-2024,7,,
Physical Chess 5,3,3,0,12,15A,2024-2025,2,9.0,6.0
Physical Chess Ladies,18,4,14,28,L3,2023-2024,6,,
Physical Chess Squash Club Academy 1,16,13,3,72,7,2022-2023,2,,
Physical Chess Squash Club Academy 2,18,13,5,66,8,2022-2023,3,,
Physical Chess Squash Club Academy 3,21,14,7,76,13,2022-2023,2,,
Police 1,22,9,13,58,10,2018-2019,7,,
Police 1,16,5,11,47,8,2017-2018,4,,
Police 1,20,13,7,73,8A,2016-2017,3,,
Police 2,22,14,8,86,15,2018-2019,4,,
Police 2,19,7,12,39,14,2017-2018,6,,
Police 2,18,6,12,35,12A,2016-2017,5,,
Polladies,20,11,9,58,L3,2018-2019,3,,
Polladies,18,0,18,-29,L2,2016-2017,7,,
Polladies,18,13,5,60,L3,2017-2018,2,,
Progressive Squash Club,10,1,9,10,16,2019-2020,12,,
Progressive Squash Club,22,13,9,66,15,2016-2017,7,,
Progressive Squash Club,21,3,18,28,13B,2018-2019,7,,
Progressive Squash Club,18,11,7,60,15B,2017-2018,3,,
RELAY,16,7,9,44,12B,2022-2023,5,,
RELAY 1,4,3,1,13,10,2024-2025,3,10.0,10.0
RELAY 1,18,7,11,43,11,2023-2024,5,,
RELAY 2,4,3,1,17,15B,2024-2025,2,14.0,6.0
RELAY 2,22,6,16,43,19,2023-2024,11,,
RELAY 3,22,7,15,46,19,2017-2018,9,,
RHKYC M4,9,2,7,16,M4,2021-2022,9,,
RICCI HALL OLD BOYS' ASSOCIATION,18,8,10,44,M2,2017-2018,5,,
ROVERS,19,5,14,36,14,2017-2018,8,,
Racketlon Hong Kong,18,10,8,62,6,2018-2019,4,,
Raptors,9,1,8,4,3,2019-2020,7,,
Razor 1,20,5,15,42,3,2016-2017,7,,
Razor 2,20,14,6,81,6,2016-2017,2,,
Razor 3,18,12,6,70,7A,2016-2017,2,,
Real Neo-Active Club,21,17,4,89,12B,2017-2018,2,,
Real Neo-Active Club,22,17,5,87,15,2016-2017,2,,
Relay 1,21,12,9,67,12B,2017-2018,4,,
Relay 1,12,3,9,22,13A,2021-2022,8,,
Relay 1,9,1,8,7,13B,2019-2020,8,,
Relay 1,16,14,2,73,17B,2016-2017,1,,
Relay 1,22,9,13,61,15,2018-2019,8,,
Relay 2,22,3,19,25,18,2018-2019,11,,
Relay 2,18,10,8,52,18B,2016-2017,4,,
Relay 2,18,2,16,29,17A,2017-2018,9,,
Relay 2,8,1,7,6,18,2019-2020,10,,
Revolution,20,4,16,31,9,2017-2018,5,,
Revolution,21,3,18,29,9,2016-2017,7,,
Revolution,18,8,10,49,12A,2018-2019,4,,
Revolution,11,6,5,30,12B,2019-2020,5,,
Revolution,10,3,7,28,12A,2021-2022,6,,
Ricci Hall Old Boys' Association,10,2,8,17,6,2019-2020,8,,
Ricci Hall Old Boys' Association,18,11,7,67,M2,2018-2019,2,,
Rovers,8,2,6,8,14,2019-2020,7,,
Rovers,20,7,13,45,14,2016-2017,8,,
Rovers,16,3,13,19,14,2018-2019,8,,
Royal,22,13,9,68,18,2017-2018,5,,
Royal Hong Kong Yacht Club 10,8,1,7,8,10,2019-2020,9,,
Royal Hong Kong Yacht Club 10,21,7,14,46,10,2016-2017,5,,
Royal Hong Kong Yacht Club 10,18,6,12,38,10,2017-2018,7,,
Royal Hong Kong Yacht Club 10,22,0,22,5,10,2018-2019,12,,
Royal Hong Kong Yacht Club 15,20,5,15,26,15A,2017-2018,8,,
Royal Hong Kong Yacht Club 15,22,15,7,77,15,2016-2017,6,,
Royal Hong Kong Yacht Club Div 13,3,2,1,11,13A,2024-2025,4,9.0,6.0
Royal Hong Kong Yacht Club Div 15,3,3,0,14,15A,2024-2025,1,11.0,4.0
Royal Hong Kong Yacht Club M1,21,17,4,78,M1,2016-2017,1,,
Royal Hong Kong Yacht Club M2,16,6,10,36,M2,2023-2024,8,,
Royal Hong Kong Yacht Club M3,5,3,2,19,M3,2024-2025,3,16.0,9.0
Royal Hong Kong Yacht Club M3,16,6,10,48,M3,2023-2024,5,,
Royal Hong Kong Yacht Club M4,21,14,7,84,M4,2016-2017,3,,
Royal Hong Kong Yacht Club M4,16,3,13,28,M4,2017-2018,7,,
Royal Hong Kong Yacht Club M4,16,0,16,6,M4,2018-2019,9,,
Royal Hong Kong Yacht Club M4,4,3,1,15,M4,2024-2025,3,12.0,8.0
Royal Hong Kong Yacht Club M4,11,0,11,6,M4,2019-2020,8,,
Runners,20,4,16,26,6,2017-2018,7,,
Runners,19,3,16,26,6,2016-2017,10,,
SKCSC,18,18,0,97,17A,2022-2023,1,,
SKCSC,5,3,2,19,M4,2024-2025,2,16.0,9.0
SKCSC,16,8,8,48,12A,2017-2018,5,,
SKCSC,22,10,12,62,15,2023-2024,7,,
SKCSC,18,6,12,44,12B,2018-2019,5,,
SKCSC,8,5,3,32,14,2019-2020,3,,
SKYERS,22,12,10,60,18,2017-2018,7,,
SKYERS,6,6,0,26,19A,2021-2022,1,,
SKYERS,21,14,7,76,18,2022-2023,3,,
SQUASHED BALLS,20,14,6,83,13,2016-2017,3,,
SQUASHTASTIC 8,22,6,16,39,16,2023-2024,9,,
Sea Bear,10,4,6,27,13A,2019-2020,5,,
Sea Bear,16,10,6,63,14,2018-2019,4,,
Sea Bear,5,2,3,16,12,2024-2025,7,14.0,11.0
Sea Bear,21,7,14,50,14,2023-2024,7,,
Sergio Tacchini KCC 1,16,8,8,34,1,2022-2023,2,,
Sergio Tacchini KCC 11,16,15,1,79,11,2022-2023,1,,
Sergio Tacchini KCC 13,21,10,11,60,13,2022-2023,5,,
Sergio Tacchini KCC 15,18,6,12,46,15A,2022-2023,4,,
Sergio Tacchini KCC 19,18,11,7,59,19,2022-2023,4,,
Sergio Tacchini KCC 2A,16,4,12,32,2,2022-2023,5,,
Sergio Tacchini KCC 2B,16,12,4,60,2,2022-2023,1,,
Sergio Tacchini KCC 3,16,4,12,26,3,2022-2023,5,,
Sergio Tacchini KCC 4,21,20,1,102,4,2022-2023,1,,
Sergio Tacchini KCC 5A,18,17,1,96,5,2022-2023,1,,
Sergio Tacchini KCC 5B,18,9,9,56,5,2022-2023,5,,
Sergio Tacchini KCC 8,18,14,4,75,8,2022-2023,1,,
Sergio Tacchini KCC L1A,20,12,8,43,L1,2022-2023,3,,
Sergio Tacchini KCC L1B,20,14,6,51,L1,2022-2023,2,,
Sergio Tacchini KCC M4,18,14,4,76,M4,2022-2023,1,,
Serve - Ivors,4,1,3,8,15B,2024-2025,6,7.0,13.0
Sha Tin 1,3,0,3,2,3,2024-2025,9,2.0,13.0
Sha Tin 2,4,0,4,0,4,2024-2025,8,0.0,20.0
Sha Tin 3,2,2,0,12,8A,2024-2025,4,10.0,0.0
Sha Tin 4,3,0,3,5,10,2024-2025,6,5.0,10.0
Sha Tin 5,4,4,0,18,11,2024-2025,1,14.0,6.0
Sha Tin 6,3,3,0,16,13B,2024-2025,2,13.0,2.0
Sha Tin 7,4,1,3,8,15A,2024-2025,6,7.0,13.0
Sha Tin Squash Rackets Club 1,11,3,8,22,5,2021-2022,5,,
Sha Tin Squash Rackets Club 1,16,8,8,47,5,2023-2024,5,,
Sha Tin Squash Rackets Club 2,16,5,11,39,8,2023-2024,7,,
Sha Tin Squash Rackets Club 2,12,8,4,42,8,2021-2022,3,,
Sha Tin Squash Rackets Club 3,21,10,11,58,12A,2023-2024,4,,
Sha Tin Squash Rackets Club 3,10,7,3,38,12A,2021-2022,4,,
Sha Tin Squash Rackets Club 4,9,3,6,22,15B,2021-2022,5,,
Sha Tin Squash Rackets Club 4,21,13,8,78,14,2023-2024,2,,
Sha Tin Squash Rackets Club 5,12,6,6,40,16,2021-2022,6,,
Sha Tin Squash Rackets Club 5,22,5,17,46,15,2023-2024,10,,
Sha Tin Squash Rackets Club 6,22,18,4,103,16,2023-2024,3,,
Sha Tin Squash Rackets Club 6,11,7,4,40,17B,2021-2022,4,,
Sha Tin Squash Rackets Club 7,22,16,6,95,18,2023-2024,2,,
Sha Tin Squash Rackets Club 7,7,4,3,25,19B,2021-2022,4,,
Sha Tin Squash Rackets Club 8,22,6,16,44,19,2023-2024,10,,
Sha Tin Squash Rackets Club Team 1,18,12,6,67,5,2022-2023,4,,
Sha Tin Squash Rackets Club Team 2,18,12,6,64,8,2022-2023,4,,
Sha Tin Squash Rackets Club Team 3,18,16,2,83,12A,2022-2023,1,,
Sha Tin Squash Rackets Club Team 4,20,7,13,56,14,2022-2023,4,,
Sha Tin Squash Rackets Club Team 5,18,2,16,23,15B,2022-2023,7,,
Sha Tin Squash Rackets Club Team 6,20,12,8,59,16,2022-2023,6,,
Sha Tin Squash Rackets Club Team 7,18,16,2,84,19,2022-2023,2,,
Sky Fighter,22,9,13,51,18,2023-2024,9,,
Skyers,9,5,4,33,18,2019-2020,6,,
Skyers,22,13,9,80,18,2018-2019,6,,
Smart Squash 1,18,13,5,75,12B,2023-2024,2,,
Smart Squash 1,9,7,2,34,4,2019-2020,2,,
Smart Squash 1,20,16,4,83,4,2018-2019,1,,
Smart Squash 1,11,2,9,15,4,2021-2022,8,,
Smart Squash 1,18,11,7,58,12A,2022-2023,5,,
Smart Squash 2,18,7,11,43,17B,2022-2023,5,,
Smart Squash 2,10,0,10,8,5,2019-2020,9,,
Smart Squash 2,16,12,4,62,5,2018-2019,2,,
Smart Squash 2,21,8,13,52,17A,2023-2024,6,,
Smart Squash 2,10,5,5,31,12B,2021-2022,6,,
Smart Squash 3,11,3,8,21,17A,2019-2020,7,,
Smart Squash 3,11,2,9,20,17B,2021-2022,6,,
Smart Squash 3,18,2,16,19,6,2018-2019,10,,
Smart Squash 4,9,0,9,0,18,2019-2020,11,,
Smart Squash 4,16,12,4,71,14,2018-2019,3,,
Smart Squash 5,21,13,8,71,17A,2018-2019,4,,
Smart Squash 6,21,11,10,63,19A,2018-2019,5,,
Smashin' Mochi,20,8,12,44,L3,2022-2023,5,,
SocGen Squash,3,1,2,10,13B,2024-2025,6,9.0,6.0
SocGen Squash,22,16,6,91,19,2023-2024,3,,
Social Squash Team,21,12,9,65,10,2022-2023,5,,
Social Squash Team,11,7,4,40,10,2021-2022,4,,
Social Squash Team,4,1,3,6,6,2024-2025,9,5.0,15.0
Social Squash Team,16,9,7,52,10,2023-2024,4,,
South China Athletic Association,22,5,17,47,15,2018-2019,10,,
South China Athletic Association,20,7,13,43,13,2016-2017,8,,
South China Athletic Association,12,7,5,45,16,2021-2022,5,,
South China Athletic Association,5,4,1,22,12,2024-2025,1,18.0,7.0
South China Athletic Association,22,6,16,46,15,2023-2024,9,,
South China Athletic Association,20,15,5,85,16,2022-2023,3,,
South China Athletic Association,18,16,2,82,16,2017-2018,1,,
South China Athletic Association,10,7,3,42,16,2019-2020,5,,
South Kwai Chung Squash Club 1,20,19,1,103,14,2016-2017,1,,
South Kwai Chung Squash Club 2,16,7,9,44,17A,2016-2017,5,,
Sovereign Group LRC 4,16,4,12,29,4,2016-2017,7,,
Sovereign Group LRC Div 5,16,10,6,56,5,2017-2018,4,,
Sovereign Group LRC Div 6,18,15,3,69,6,2018-2019,2,,
Sovereign Group LRC M3,18,13,5,73,M3,2017-2018,1,,
