Home Team,vs,Away Team,Venue,Time,Result,Match Week,Date
Twister 2,v,Banbil,Cornwall Street (CSPSC),19:00,"5-0(3-0,3-0,3-0,3-0,3-0)",15,06/03/2019
HKU 2,v,Banbil,HK Squash Centre (HKSC),19:00,"4-1(0-3,3-0,3-2,3-2,3-1)",16,13/03/2019
Perrier Sergio Tacchini KCC 7,v,Studio Pro,Kowloon Cricket Club (KCC),19:00,"5-0(3-0,3-0,3-0,3-1,3-0)",16,13/03/2019
Head Sha Tin 4,v,Honey Badger 1,Cornwall Street (CSPSC),19:00,"3-2(1-3,3-0,0-3,3-1,3-1)",16,13/03/2019
The Squash Club 2,v,Twister 2,Cornwall Street (CSPSC),19:00,"3-2(3-0,3-0,0-3,3-1,2-3)",16,13/03/2019
HKU 2,v,The Squash Club 2,HK Squash Centre (HKSC),19:00,"0-5(2-3,0-3,0-3,1-3,0-3)",17,20/03/2019
Studio Pro,v,Honey Badger 1,Java Road (JRSC),19:00,"1-4(3-2,1-3,0-3,0-3,1-3)",17,20/03/2019
Twister 2,v,Head Sha Tin 4,Cornwall Street (CSPSC),19:00,"3-2(3-1,3-0,2-3,3-1,0-3)",17,20/03/2019
Perrier Sergio Tacchini KCC 7,v,Banbil,Kowloon Cricket Club (KCC),19:00,"5-0(3-0,3-0,3-1,3-0,3-0)",17,20/03/2019
Honey Badger 1,v,Twister 2,HK Squash Centre (HKSC),19:00,"4-1(1-3,3-0,3-1,3-2,3-2)",18,27/03/2019
Banbil,v,Studio Pro,HK Squash Centre (HKSC),19:00,"0-5(0-3,0-3,1-3,2-3,1-3)",18,27/03/2019
Head Sha Tin 4,v,HKU 2,Cornwall Street (CSPSC),19:00,"4-1(2-3,3-1,3-2,3-0,3-2)",18,27/03/2019
The Squash Club 2,v,Perrier Sergio Tacchini KCC 7,Cornwall Street (CSPSC),19:00,"4-1(3-0,3-2,2-3,3-1,CR)",18,27/03/2019
Banbil,v,The Squash Club 2,HK Squash Centre (HKSC),19:00,"0-5(1-3,1-3,1-3,0-3,CR)",19,03/04/2019
HKU 2,v,Honey Badger 1,HK Squash Centre (HKSC),19:00,"0-5(2-3,1-3,1-3,1-3,0-3)",19,03/04/2019
Twister 2,v,Studio Pro,Cornwall Street (CSPSC),19:00,"3-2(1-3,3-0,0-3,3-1,3-1)",19,03/04/2019
Perrier Sergio Tacchini KCC 7,v,Head Sha Tin 4,Kowloon Cricket Club (KCC),19:00,"3-2(3-1,3-0,0-3,3-2,0-3)",19,03/04/2019
Honey Badger 1,v,Perrier Sergio Tacchini KCC 7,HK Squash Centre (HKSC),19:00,"3-2(1-3,3-2,3-1,2-3,3-1)",20,10/04/2019
Studio Pro,v,The Squash Club 2,Java Road (JRSC),19:00,"1-4(0-3,0-3,0-3,1-3,3-1)",20,10/04/2019
Twister 2,v,HKU 2,Cornwall Street (CSPSC),19:00,"4-1(3-0,1-3,3-0,3-0,3-0)",20,10/04/2019
Head Sha Tin 4,v,Banbil,Cornwall Street (CSPSC),19:00,"4-1(2-3,3-0,3-0,3-0,3-0)",20,10/04/2019
HKU 2,v,Studio Pro,HK Squash Centre (HKSC),19:00,"1-4(0-3,3-0,0-3,0-3,2-3)",21,08/05/2019
Banbil,v,Honey Badger 1,HK Squash Centre (HKSC),19:00,"0-5(0-3,1-3,0-3,0-3,0-3)",21,08/05/2019
Head Sha Tin 4,v,The Squash Club 2,Cornwall Street (CSPSC),19:00,"2-3(0-3,3-0,2-3,3-0,1-3)",21,08/05/2019
Perrier Sergio Tacchini KCC 7,v,Twister 2,Kowloon Cricket Club (KCC),19:00,"3-2(0-3,3-0,0-3,3-1,3-1)",21,08/05/2019
