Home Team,vs,Away Team,Venue,Time,Result,Match Week,Date
WAKO,v,United Services Recreation Club M4,Masters - Harbour Road Sports Centre,19:00:00,,13,15/01/2026
Hong Kong Football Club M4A,v,Hong Kong Club Blue,Hong Kong Football Club,19:00:00,,13,15/01/2026
Kowloon Cricket Club M4,v,Hong Kong Football Club M4A,Kowloon Cricket Club,19:00:00,,14,22/01/2026
Hong Kong Club Blue,v,United Services Recreation Club M4,The Hong Kong Club,19:00:00,,14,22/01/2026
WAKO,v,Bolton,Masters - Harbour Road Sports Centre,19:00:00,,14,22/01/2026
SKCSC M4,v,Hong Kong Cricket Club M4,Masters - Cornwall Street Squash Centre,19:00:00,,14,22/01/2026
Hong Kong Football Club M4B,v,Royal Hong Kong Yacht Club M4,Hong Kong Football Club,19:00:00,,14,22/01/2026
Hong Kong Football Club M4B,v,Kowloon Cricket Club M4,Hong Kong Football Club,19:00:00,,15,29/01/2026
Hong Kong Cricket Club M4,v,Royal Hong Kong Yacht Club M4,Hong Kong Cricket Club,19:00:00,,15,29/01/2026
SKCSC M4,v,WAKO,Masters - Cornwall Street Squash Centre,19:00:00,,15,29/01/2026
Bolton,v,Hong Kong Club Blue,Masters - Harbour Road Sports Centre,19:00:00,,15,29/01/2026
United Services Recreation Club M4,v,Hong Kong Football Club M4A,United Services Recreation Club,19:00:00,,15,29/01/2026
Kowloon Cricket Club M4,v,United Services Recreation Club M4,Kowloon Cricket Club,19:00:00,,16,05/02/2026
Hong Kong Football Club M4A,v,Bolton,Hong Kong Football Club,19:00:00,,16,05/02/2026
Hong Kong Club Blue,v,SKCSC M4,The Hong Kong Club,19:00:00,,16,05/02/2026
WAKO,v,Royal Hong Kong Yacht Club M4,Masters - Harbour Road Sports Centre,19:00:00,,16,05/02/2026
Hong Kong Cricket Club M4,v,Hong Kong Football Club M4B,Hong Kong Cricket Club,19:00:00,,16,05/02/2026
Hong Kong Cricket Club M4,v,Kowloon Cricket Club M4,Hong Kong Cricket Club,19:00:00,,17,12/02/2026
Hong Kong Football Club M4B,v,WAKO,Hong Kong Football Club,19:00:00,,17,12/02/2026
Hong Kong Club Blue,v,Royal Hong Kong Yacht Club M4,The Hong Kong Club,19:00:00,,17,12/02/2026
SKCSC M4,v,Hong Kong Football Club M4A,Masters - Cornwall Street Squash Centre,19:00:00,,17,12/02/2026
Bolton,v,United Services Recreation Club M4,Masters - Harbour Road Sports Centre,19:00:00,,17,12/02/2026
Kowloon Cricket Club M4,v,Bolton,Kowloon Cricket Club,19:00:00,,18,05/03/2026
United Services Recreation Club M4,v,SKCSC M4,United Services Recreation Club,19:00:00,,18,05/03/2026
Hong Kong Football Club M4A,v,Royal Hong Kong Yacht Club M4,Hong Kong Football Club,19:00:00,,18,05/03/2026
Hong Kong Football Club M4B,v,Hong Kong Club Blue,Hong Kong Football Club,19:00:00,,18,05/03/2026
WAKO,v,Hong Kong Cricket Club M4,Masters - Harbour Road Sports Centre,19:00:00,,18,05/03/2026
